uf,cnpj,cns,nome_oficial,municipio,cep,homepage,data_instalacao,atribuicoes,area_abrangencia,comarca
AC,04.034.872/0001-21,"",secretaria da vara única,Acrelândia,69945000,"",1996-06-28,cível;criminal;juizado especial cível;juizado especial criminal,município de acrelândia,acrelândia
AC,12.550.310/0001-69,00.107-3,ofício de registro civil das pessoas naturais e anexos,Acrelândia,69945000,"",1994-06-08,casamentos;interdições e tutelas;nascimentos;notas;óbitos;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,município de acrelândia,acrelândia
AC,04.034.484/0019-50,15.399-9,ofício de registro civil das pessoas naturais e anexos,Assis Brasil,69935000,"",1910-09-20,casamentos;interdições e tutelas;nascimentos;notas;óbitos;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,município de assis brasil,assis brasil
AC,12.862.684/0001-26,15.381-7,ofício único,Brasiléia,69932000,"",1912-12-24,casamentos;nascimentos;notas;óbitos;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,município de brasiléia,brasiléia
AC,03.557.395/0001-16,00.116-4,tabelionato de notas e ofício de registro de imóveis,Brasiléia,69932000,"",1912-12-24,notas;registro de imóveis,município de brasiléia,brasiléia
AC,03.557.401/0001-35,00.165-1,tabelionato de protestos  e registros de títulos e documentos e civil de pessoas jurídicas,Brasiléia,69932000,"",1912-12-24,protesto de títulos;registro civil de pessoas jurídicas;registro de títulos e documentos,município de brasiléia,brasiléia
AC,04.034.872/0001-21,15.437-7,ofício de registro civil das pessoas naturais e anexos,Bujari,69926000,"",1992-02-03,casamentos;depositário público;distribuidor extrajudicial;interdições e tutelas;nascimentos;notas;óbitos;protesto de títulos;registro civil de pessoas jurídicas;registro de contratos marítimos;registro de imóveis;registro de títulos e documentos,municício de bujari,bujari
AC,04.034.872/0001-21,"",secretaria da vara única,Bujari,69923000,"",1996-12-26,acidentes de tabalho;acidentes de trânsito;cível;criminal;distribuidor;execuções penais;família;infância e juventude;interdições e tutelas;júri;registros públicos,município de bujari,bujari
AC,12.667.843/0001-25,15.439-3,ofício único,Capixaba,69931000,www.cjcartorio.com.br,1992-02-28,casamentos;nascimentos;notas;óbitos;protesto de títulos;registro civil de pessoas jurídicas;registro de imóveis;registro de títulos e documentos,município de capixaba,capixaba
AC,01.160.009/0001-22,00.082-8,ofício de registro civil das pessoas naturais e interdiçao e tutela,Cruzeiro do Sul,69980000,"",1904-09-12,casamentos;interdições e tutelas;nascimentos;notas;óbitos,município de cruzeiro do sul,cruzeiro do sul
