atribuicoes,n
"",6
acidentes de tabalho,29
acidentes de trânsito,46
avaliador,24
casamentos,7382
cível,205
contador,124
criminal,162
depositário público,61
distribuidor,156
distribuidor extrajudicial,105
execuções penais,63
família,68
fazenda pública,52
infância e juventude,67
interdições e tutelas,3038
juizado especial cível,73
juizado especial criminal,72
júri,69
nascimentos,7614
notas,8416
óbitos,7601
outras,115
partidor,94
protesto de títulos,3484
registro civil de pessoas jurídicas,3305
registro de contratos marítimos,492
registro de imóveis,3408
registro de títulos e documentos,3442
registros públicos,215
