cns,atrib_len_avg,n,cnpjs,ceps
"",4,35,23,35
00.220-4,2,2,2,2
00.444-0,1,2,1,2
00.450-7,1,2,1,2
00.641-1,3,2,2,2
01.033-0,3,2,2,1
01.190-8,4,2,1,2
01.758-2,6,2,2,2
01.790-5,5,2,2,1
01.948-9,5,2,2,2
01.955-4,5,2,2,1
01.957-0,7,2,2,2
02.054-5,9,2,1,1
02.122-0,7,2,1,2
02.187-3,3,2,2,1
02.360-6,5,2,2,1
02.440-6,3,2,2,2
02.455-4,4,2,2,1
02.460-4,4,2,1,1
02.464-6,4,2,2,2
02.466-1,5,2,1,2
02.502-3,5,2,1,1
02.524-7,5,2,1,1
02.561-9,8,2,2,1
02.623-7,4,2,2,2
02.644-3,5,2,2,1
02.683-1,3,2,1,1
02.867-0,7,2,1,1
02.878-7,7,2,2,2
02.917-3,8,2,2,1
02.944-7,5,2,2,1
03.117-9,9,2,2,1
03.546-9,1,2,2,1
03.636-8,2,2,2,1
03.941-2,2,2,2,1
04.504-7,3,2,2,2
04.750-6,1,2,2,1
04.754-8,1,2,2,1
05.282-9,4,2,1,1
06.283-6,4,2,2,2
06.382-6,7,2,1,1
06.467-5,5,2,2,2
06.571-4,1,2,2,1
06.628-2,3,2,1,1
06.796-7,1,2,1,2
06.843-7,1,2,2,2
06.998-9,7,2,2,1
07.142-3,3,2,1,1
08.104-2,6,2,1,1
08.259-4,6,2,1,2
08.467-3,4,2,2,1
08.522-5,4,2,1,1
08.523-3,3,2,2,1
08.570-4,5,2,2,1
08.651-2,4,2,2,1
08.660-3,2,2,2,1
08.668-6,4,2,1,1
08.856-7,4,5,1,5
08.863-3,1,5,1,5
08.879-9,4,2,1,1
08.880-7,7,2,1,1
08.894-8,1,3,1,2
08.960-7,1,3,3,3
09.062-1,2,2,2,1
09.100-9,7,2,1,1
09.104-1,5,3,2,1
09.112-4,1,3,1,2
09.133-0,4,2,2,2
09.218-9,7,2,2,1
09.219-7,8,2,2,1
09.225-4,9,2,1,1
09.333-6,4,4,4,4
09.335-1,1,2,1,2
09.372-1,9,2,1,1
09.584-4,4,2,2,2
09.650-3,5,2,2,2
10.043-8,1,2,2,1
10.400-0,5,2,2,2
10.739-1,5,2,2,2
11.031-2,4,2,2,1
11.089-0,6,2,1,1
11.334-0,1,2,2,2
11.791-1,4,2,2,1
12.689-6,3,2,1,1
13.242-3,4,2,1,2
13.341-3,4,2,1,2
13.434-6,2,2,2,1
13.531-9,4,2,1,1
14.226-5,4,2,1,1
14.481-6,4,2,2,1
14.675-3,3,2,2,1
14.738-9,7,2,1,1
14.915-3,3,2,1,1
14.938-5,4,2,1,1
